SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308514,4.86465806,0,0.20556429,0,1,10,false,0,uniprotkb:P21281,33,1,0,0,0.74235613,false,0,uniprotkb:P21281,0,0,No
308515,1,0,1,0,2,1,false,-1,uniprotkb:Q85449,1,2,0,1,1,false,0,uniprotkb:Q85449,0,0,No
308516,1,0,1,0,2,1,false,-1,uniprotkb:O22544,1,2,0,1,1,false,0,uniprotkb:O22544,0,0,No
308517,4.07771401,0,0.24523544,0,1,9,false,0,uniprotkb:P34931,150,1,0,0,0.79481907,false,0,uniprotkb:P34931,0,0,No
308518,5.36489718,0,0.18639686,0,1,11,false,0,uniprotkb:O60729,3,1,0,0,0.70900685,false,0,uniprotkb:O60729,0,0,No
308519,0,0,0,0,6,0,true,-1,uniprotkb:Q72547,0,3,0,0,92233720368.5478,false,3,uniprotkb:Q72547,0,0,No
308520,5.27905308,8.42878792726966e-06,0.18942791,0,4,10,false,0,uniprotkb:P35236,10.5,4,0,1,0.71472979,false,0,uniprotkb:P35236,2116,0.55882353,Yes
308521,5.35987566,3.72997652740477e-07,0.18657149,0,2,10,false,0,uniprotkb:Q62132,11.5,2,0,0,0.70934162,false,0,uniprotkb:Q62132,256,0.7,No
308522,4.41152559,7.197537004572e-05,0.22667895,0.16666667,17,10,false,8,uniprotkb:Q562F6,7.75,16,0,3,0.77256496,false,1,uniprotkb:Q562F6,5710,0.30208333,No
308523,1,0,1,0,2,1,false,-1,uniprotkb:Q9Z1B5,1,2,0,1,1,false,0,uniprotkb:Q9Z1B5,0,0,No
308524,1,0,1,0,2,1,false,-1,uniprotkb:Q7TSY8,1,2,0,1,1,false,0,uniprotkb:Q7TSY8,0,0,No
308525,0,0,0,0,6,0,true,-1,uniprotkb:P27487,0,3,0,0,92233720368.5478,false,3,uniprotkb:P27487,0,0,No
308526,1,0,1,0,2,1,false,-1,uniprotkb:O88559,1,2,0,1,1,false,0,uniprotkb:O88559,0,0,No
308527,1,0,1,0,2,1,false,-1,uniprotkb:P23204,1,2,0,1,1,false,0,uniprotkb:P23204,0,0,No
308528,4.29340029,2.12503433321088e-05,0.23291562,0,17,9,false,10,uniprotkb:Q9NQG6,5.5,15,0,2,0.78043998,false,2,uniprotkb:Q9NQG6,1256,0.5,No
308529,5.74438068,0,0.17408317,0,1,10,false,0,uniprotkb:Q15256,8,1,0,0,0.68370795,false,0,uniprotkb:Q15256,0,0,No
308530,5.55404113,0,0.18004908,0,1,10,false,0,uniprotkb:O08715-5,2,1,0,0,0.69639726,false,0,uniprotkb:O08715-5,0,0,No
308531,4.55428025,0.00034791644979098,0.21957366,0,3,9,false,0,uniprotkb:Q16825,16.5,3,0,1,0.76304798,false,0,uniprotkb:Q16825,40722,0.5,No
308532,4.55475849,0,0.21955061,0,1,9,false,0,uniprotkb:O08715-1,32,1,0,0,0.7630161,false,0,uniprotkb:O08715-1,0,0,No
